cpse,material_code,material_description,category,material,size,unit,grade,benchmark_group_id,material_description_clean,category_clean,material_clean,size_clean,unit_clean,grade_clean,combined_text,extracted_size,extracted_material,extracted_grade
BHEL,BHL1001,SS Bolt M10 X 50,Fastener,Stainless Steel,M10 x 50,NOS,SS304,G001,ss bolt m10 x 50,fastener,stainless steel,m10 x 50,nos,ss304,ss bolt m10 x 50 fastener stainless steel m10 x 50 ss304,m10 x 50,stainless steel,ss304
NTPC,NTP5521,Stainless Steel Hex Bolt 10mm x 50mm,Fastener,SS,10 x 50,Nos,304,G001,stainless steel hex bolt 10mm x 50mm,fastener,ss,10 x 50,nos,304,stainless steel hex bolt 10mm x 50mm fastener ss 10 x 50 304,10 x 50,stainless steel,304
SAIL,STL2045,SS HEX BOLT M10-50,Fastener,Stainless Steel,M10-50,Number,SS 304,G001,ss hex bolt m10-50,fastener,stainless steel,m10-50,number,ss 304,ss hex bolt m10-50 fastener stainless steel m10-50 ss 304,,stainless steel,ss 304
ONGC,ONG1101,Stainless Steel Bolt M10 by 50,Fastener,SS,M10 x 50,EA,304,G001,stainless steel bolt m10 x 50,fastener,ss,m10 x 50,ea,304,stainless steel bolt m10 x 50 fastener ss m10 x 50 304,m10 x 50,stainless steel,304
BHEL,BHL1002,MS Hex Nut M10,Fastener,Mild Steel,M10,NOS,MS,G002,ms hex nut m10,fastener,mild steel,m10,nos,ms,ms hex nut m10 fastener mild steel m10 ms,,mild steel,
NTPC,NTP5522,Mild Steel Hexagonal Nut 10 mm,Fastener,MS,10 mm,Nos,MS,G002,mild steel hexagonal nut 10 mm,fastener,ms,10 mm,nos,ms,mild steel hexagonal nut 10 mm fastener ms 10 mm ms,10 mm,mild steel,
SAIL,STL2046,MS HEX NUT M10,Fastener,Mild Steel,M10,Number,MS,G002,ms hex nut m10,fastener,mild steel,m10,number,ms,ms hex nut m10 fastener mild steel m10 ms,,mild steel,
ONGC,ONG1102,Mild Steel Nut Size M10,Fastener,MS,M10,EA,MS,G002,mild steel nut size m10,fastener,ms,m10,ea,ms,mild steel nut size m10 fastener ms m10 ms,,mild steel,
BHEL,BHL1003,SS Flat Washer M10,Fastener,Stainless Steel,M10,NOS,SS304,G003,ss flat washer m10,fastener,stainless steel,m10,nos,ss304,ss flat washer m10 fastener stainless steel m10 ss304,,stainless steel,ss304
NTPC,NTP5523,Stainless Steel Plain Washer 10mm,Fastener,SS,10 mm,Nos,304,G003,stainless steel plain washer 10mm,fastener,ss,10 mm,nos,304,stainless steel plain washer 10mm fastener ss 10 mm 304,10mm,stainless steel,304
SAIL,STL2047,SS WASHER M10 FLAT,Fastener,Stainless Steel,M10,Number,SS304,G003,ss washer m10 flat,fastener,stainless steel,m10,number,ss304,ss washer m10 flat fastener stainless steel m10 ss304,,stainless steel,ss304
ONGC,ONG1103,SS Plain Washer M10,Fastener,Stainless Steel,M10,EA,SS304,G003,ss plain washer m10,fastener,stainless steel,m10,ea,ss304,ss plain washer m10 fastener stainless steel m10 ss304,,stainless steel,ss304
BHEL,BHL1004,SS Bolt M10 X 60,Fastener,Stainless Steel,M10 x 60,NOS,SS304,G004,ss bolt m10 x 60,fastener,stainless steel,m10 x 60,nos,ss304,ss bolt m10 x 60 fastener stainless steel m10 x 60 ss304,m10 x 60,stainless steel,ss304
NTPC,NTP5524,Stainless Steel Hex Bolt 10mm x 60mm,Fastener,SS,10 x 60,Nos,304,G004,stainless steel hex bolt 10mm x 60mm,fastener,ss,10 x 60,nos,304,stainless steel hex bolt 10mm x 60mm fastener ss 10 x 60 304,10 x 60,stainless steel,304
SAIL,STL2048,SS HEX BOLT M10-60,Fastener,Stainless Steel,M10-60,Number,SS304,G004,ss hex bolt m10-60,fastener,stainless steel,m10-60,number,ss304,ss hex bolt m10-60 fastener stainless steel m10-60 ss304,,stainless steel,ss304
ONGC,ONG1104,Stainless Steel Bolt M10 by 60,Fastener,SS,M10 x 60,EA,304,G004,stainless steel bolt m10 x 60,fastener,ss,m10 x 60,ea,304,stainless steel bolt m10 x 60 fastener ss m10 x 60 304,m10 x 60,stainless steel,304
BHEL,BHL1005,GI Hex Bolt M12 X 75,Fastener,Galvanized Steel,M12 x 75,NOS,GI,G005,gi hex bolt m12 x 75,fastener,galvanized steel,m12 x 75,nos,gi,gi hex bolt m12 x 75 fastener galvanized steel m12 x 75 gi,m12 x 75,galvanized steel,
NTPC,NTP5525,Galvanized Hexagonal Bolt 12mm x 75mm,Fastener,GI,12 x 75,Nos,GI,G005,galvanized hexagonal bolt 12mm x 75mm,fastener,gi,12 x 75,nos,gi,galvanized hexagonal bolt 12mm x 75mm fastener gi 12 x 75 gi,12 x 75,galvanized steel,
SAIL,STL2049,GI HEX BOLT M12-75,Fastener,Galvanized Steel,M12-75,Number,GI,G005,gi hex bolt m12-75,fastener,galvanized steel,m12-75,number,gi,gi hex bolt m12-75 fastener galvanized steel m12-75 gi,,galvanized steel,
ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,GI,M12 x 75,EA,GI,G005,galvanised steel bolt m12 75mm,fastener,gi,m12 x 75,ea,gi,galvanised steel bolt m12 75mm fastener gi m12 x 75 gi,m12 x 75,galvanized steel,
BHEL,BHL1006,Deep Groove Ball Bearing 6205,Bearing,Steel,6205,NOS,Chrome Steel,G006,deep groove ball bearing 6205,bearing,steel,6205,nos,chrome steel,deep groove ball bearing 6205 bearing steel 6205 chrome steel,6205,,
NTPC,NTP6601,6205 Ball Bearing Deep Groove,Bearing,Steel,6205,Nos,Chrome Steel,G006,6205 ball bearing deep groove,bearing,steel,6205,nos,chrome steel,6205 ball bearing deep groove bearing steel 6205 chrome steel,6205,,
SAIL,STL3001,Deep Groove Bearing No 6205,Bearing,Steel,6205,Number,Chrome Steel,G006,deep groove bearing no 6205,bearing,steel,6205,number,chrome steel,deep groove bearing no 6205 bearing steel 6205 chrome steel,6205,,
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,Bearing,Steel,6205,EA,Chrome Steel,G006,ball bearing 6205 deep groove,bearing,steel,6205,ea,chrome steel,ball bearing 6205 deep groove bearing steel 6205 chrome steel,6205,,
BHEL,BHL1007,Deep Groove Ball Bearing 6206,Bearing,Steel,6206,NOS,Chrome Steel,G007,deep groove ball bearing 6206,bearing,steel,6206,nos,chrome steel,deep groove ball bearing 6206 bearing steel 6206 chrome steel,6206,,
NTPC,NTP6602,6206 Deep Groove Bearing,Bearing,Steel,6206,Nos,Chrome Steel,G007,6206 deep groove bearing,bearing,steel,6206,nos,chrome steel,6206 deep groove bearing bearing steel 6206 chrome steel,6206,,
SAIL,STL3002,Ball Bearing 6206 Deep Groove,Bearing,Steel,6206,Number,Chrome Steel,G007,ball bearing 6206 deep groove,bearing,steel,6206,number,chrome steel,ball bearing 6206 deep groove bearing steel 6206 chrome steel,6206,,
ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,Steel,6206,EA,Chrome Steel,G007,deep groove bearing 6206,bearing,steel,6206,ea,chrome steel,deep groove bearing 6206 bearing steel 6206 chrome steel,6206,,
BHEL,BHL1008,Taper Roller Bearing 30205,Bearing,Steel,30205,NOS,Chrome Steel,G008,taper roller bearing 30205,bearing,steel,30205,nos,chrome steel,taper roller bearing 30205 bearing steel 30205 chrome steel,30205,,
NTPC,NTP6603,30205 Tapered Roller Bearing,Bearing,Steel,30205,Nos,Chrome Steel,G008,30205 tapered roller bearing,bearing,steel,30205,nos,chrome steel,30205 tapered roller bearing bearing steel 30205 chrome steel,30205,,
SAIL,STL3003,Taper Roller Bearing No 30205,Bearing,Steel,30205,Number,Chrome Steel,G008,taper roller bearing no 30205,bearing,steel,30205,number,chrome steel,taper roller bearing no 30205 bearing steel 30205 chrome steel,30205,,
ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,Steel,30205,EA,Chrome Steel,G008,conical roller bearing 30205,bearing,steel,30205,ea,chrome steel,conical roller bearing 30205 bearing steel 30205 chrome steel,30205,,
BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,Steel,6305,NOS,Chrome Steel,G009,deep groove ball bearing 6305,bearing,steel,6305,nos,chrome steel,deep groove ball bearing 6305 bearing steel 6305 chrome steel,6305,,
NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,Steel,6305,Nos,Chrome Steel,G009,6305 deep groove bearing,bearing,steel,6305,nos,chrome steel,6305 deep groove bearing bearing steel 6305 chrome steel,6305,,
SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,Steel,6305,Number,Chrome Steel,G009,ball bearing 6305 deep groove,bearing,steel,6305,number,chrome steel,ball bearing 6305 deep groove bearing steel 6305 chrome steel,6305,,
ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,Steel,6305,EA,Chrome Steel,G009,deep groove bearing no 6305,bearing,steel,6305,ea,chrome steel,deep groove bearing no 6305 bearing steel 6305 chrome steel,6305,,
BHEL,BHL1010,Gate Valve 50 NB Class 150,Valve,Carbon Steel,50 NB,NOS,Class 150,G010,gate valve 50 nb class 150,valve,carbon steel,50 nb,nos,class 150,gate valve 50 nb class 150 valve carbon steel 50 nb class 150,50 nb,carbon steel,class 150
NTPC,NTP7701,50 NB Gate Valve Class 150,Valve,CS,50 NB,Nos,150,G010,50 nb gate valve class 150,valve,cs,50 nb,nos,150,50 nb gate valve class 150 valve cs 50 nb 150,50 nb,carbon steel,class 150
SAIL,STL4001,CS Gate Valve 50NB CL150,Valve,Carbon Steel,50NB,Number,CL150,G010,cs gate valve 50nb cl150,valve,carbon steel,50nb,number,cl150,cs gate valve 50nb cl150 valve carbon steel 50nb cl150,50nb,carbon steel,cl150
ONGC,ONG3301,Carbon Steel Gate Valve 50 NB 150 Class,Valve,CS,50 NB,EA,Class150,G010,carbon steel gate valve 50 nb 150 class,valve,cs,50 nb,ea,class150,carbon steel gate valve 50 nb 150 class valve cs 50 nb class150,50 nb,carbon steel,class150
BHEL,BHL1011,Gate Valve 80 NB Class 150,Valve,Carbon Steel,80 NB,NOS,Class 150,G011,gate valve 80 nb class 150,valve,carbon steel,80 nb,nos,class 150,gate valve 80 nb class 150 valve carbon steel 80 nb class 150,80 nb,carbon steel,class 150
NTPC,NTP7702,80 NB Gate Valve CL 150,Valve,CS,80 NB,Nos,150,G011,80 nb gate valve cl 150,valve,cs,80 nb,nos,150,80 nb gate valve cl 150 valve cs 80 nb 150,80 nb,carbon steel,cl 150
SAIL,STL4002,CS GATE VALVE 80NB CLASS150,Valve,Carbon Steel,80NB,Number,CL150,G011,cs gate valve 80nb class150,valve,carbon steel,80nb,number,cl150,cs gate valve 80nb class150 valve carbon steel 80nb cl150,80nb,carbon steel,class150
ONGC,ONG3302,Carbon Steel Gate Valve 80 NB,Valve,CS,80 NB,EA,150,G011,carbon steel gate valve 80 nb,valve,cs,80 nb,ea,150,carbon steel gate valve 80 nb valve cs 80 nb 150,80 nb,carbon steel,
BHEL,BHL1012,Globe Valve 25 NB Class 150,Valve,Carbon Steel,25 NB,NOS,Class 150,G012,globe valve 25 nb class 150,valve,carbon steel,25 nb,nos,class 150,globe valve 25 nb class 150 valve carbon steel 25 nb class 150,25 nb,carbon steel,class 150
NTPC,NTP7703,25 NB Globe Valve CL 150,Valve,CS,25 NB,Nos,150,G012,25 nb globe valve cl 150,valve,cs,25 nb,nos,150,25 nb globe valve cl 150 valve cs 25 nb 150,25 nb,carbon steel,cl 150
SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,Carbon Steel,25NB,Number,CL150,G012,carbon steel globe valve 25nb class150,valve,carbon steel,25nb,number,cl150,carbon steel globe valve 25nb class150 valve carbon steel 25nb cl150,25nb,carbon steel,class150
ONGC,ONG3303,CS Globe Valve 25 NB 150 Class,Valve,CS,25 NB,EA,Class150,G012,cs globe valve 25 nb 150 class,valve,cs,25 nb,ea,class150,cs globe valve 25 nb 150 class valve cs 25 nb class150,25 nb,carbon steel,class150
BHEL,BHL1013,Butterfly Valve 100 NB PN16,Valve,Ductile Iron,100 NB,NOS,PN16,G013,butterfly valve 100 nb pn16,valve,ductile iron,100 nb,nos,pn16,butterfly valve 100 nb pn16 valve ductile iron 100 nb pn16,100 nb,ductile iron,pn16
NTPC,NTP7704,100 NB Butterfly Valve PN 16,Valve,DI,100 NB,Nos,PN16,G013,100 nb butterfly valve pn 16,valve,di,100 nb,nos,pn16,100 nb butterfly valve pn 16 valve di 100 nb pn16,100 nb,ductile iron,pn 16
SAIL,STL4004,DI Butterfly Valve 100NB PN16,Valve,Ductile Iron,100NB,Number,PN16,G013,di butterfly valve 100nb pn16,valve,ductile iron,100nb,number,pn16,di butterfly valve 100nb pn16 valve ductile iron 100nb pn16,100nb,ductile iron,pn16
ONGC,ONG3304,Butterfly Valve Size 100 NB Pressure PN16,Valve,DI,100 NB,EA,PN16,G013,butterfly valve size 100 nb pressure pn16,valve,di,100 nb,ea,pn16,butterfly valve size 100 nb pressure pn16 valve di 100 nb pn16,100 nb,ductile iron,pn16
BHEL,BHL1014,EPDM Rubber Gasket 50 NB,Gasket,EPDM Rubber,50 NB,NOS,EPDM,G014,epdm rubber gasket 50 nb,gasket,epdm rubber,50 nb,nos,epdm,epdm rubber gasket 50 nb gasket epdm rubber 50 nb epdm,50 nb,,epdm
