prototype_canonical_material_code,source_material_count,source_cpses,source_material_codes,source_descriptions,ai_recommendation,human_decision
PCM-FAST-002,2,"BHEL, SAIL",BHEL:BHL1002 | SAIL:STL2046,MS Hex Nut M10 | MS HEX NUT M10,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-FAST-003,3,"BHEL, ONGC, SAIL",BHEL:BHL1003 | SAIL:STL2047 | ONGC:ONG1103,SS Flat Washer M10 | SS WASHER M10 FLAT | SS Plain Washer M10,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-FAST-004,2,"BHEL, SAIL",BHEL:BHL1004 | SAIL:STL2048,SS Bolt M10 X 60 | SS HEX BOLT M10-60,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-FAST-005,2,"BHEL, SAIL",BHEL:BHL1005 | SAIL:STL2049,GI Hex Bolt M12 X 75 | GI HEX BOLT M12-75,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-BEAR-006,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1006 | NTPC:NTP6601 | SAIL:STL3001 | ONGC:ONG2201,Deep Groove Ball Bearing 6205 | 6205 Ball Bearing Deep Groove | Deep Groove Bearing No 6205 | Ball Bearing 6205 Deep Groove,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-BEAR-007,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1007 | NTPC:NTP6602 | SAIL:STL3002 | ONGC:ONG2202,Deep Groove Ball Bearing 6206 | 6206 Deep Groove Bearing | Ball Bearing 6206 Deep Groove | Deep Groove Bearing 6206,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-BEAR-008,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1008 | NTPC:NTP6603 | SAIL:STL3003 | ONGC:ONG2203,Taper Roller Bearing 30205 | 30205 Tapered Roller Bearing | Taper Roller Bearing No 30205 | Conical Roller Bearing 30205,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-BEAR-009,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1009 | NTPC:NTP6604 | SAIL:STL3004 | ONGC:ONG2204,Deep Groove Ball Bearing 6305 | 6305 Deep Groove Bearing | Ball Bearing 6305 Deep Groove | Deep Groove Bearing No 6305,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-VALV-010,2,"BHEL, SAIL",BHEL:BHL1010 | SAIL:STL4001,Gate Valve 50 NB Class 150 | CS Gate Valve 50NB CL150,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-VALV-011,2,"BHEL, SAIL",BHEL:BHL1011 | SAIL:STL4002,Gate Valve 80 NB Class 150 | CS GATE VALVE 80NB CLASS150,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-VALV-012,2,"BHEL, SAIL",BHEL:BHL1012 | SAIL:STL4003,Globe Valve 25 NB Class 150 | Carbon Steel Globe Valve 25NB Class150,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-VALV-013,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1013 | NTPC:NTP7704 | SAIL:STL4004 | ONGC:ONG3304,Butterfly Valve 100 NB PN16 | 100 NB Butterfly Valve PN 16 | DI Butterfly Valve 100NB PN16 | Butterfly Valve Size 100 NB Pressure PN16,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-GASK-014,2,"BHEL, SAIL",BHEL:BHL1014 | SAIL:STL5001,EPDM Rubber Gasket 50 NB | EPDM GASKET 50NB,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-CABL-016,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1016 | NTPC:NTP9901 | SAIL:STL6001 | ONGC:ONG5501,Copper Cable 2.5 Sqmm | 2.5 sq mm Copper Electrical Cable | Copper Wire Cable 2.5mm2 | 2.5 Square MM Copper Cable,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-CABL-017,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1017 | NTPC:NTP9902 | SAIL:STL6002 | ONGC:ONG5502,Aluminium Cable 16 Sqmm | 16 Sq MM Aluminium Power Cable | Aluminium Cable 16mm2 XLPE | 16 Square MM Aluminium XLPE Cable,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-CABL-018,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1018 | NTPC:NTP9903 | SAIL:STL6003 | ONGC:ONG5503,FRLS Copper Cable 4 Sqmm | 4 Sq MM Copper FRLS Cable | Copper Cable 4mm2 Flame Retardant Low Smoke | FRLS Cu Cable 4 Square MM,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-PIPE-021,2,"BHEL, SAIL",BHEL:BHL1021 | SAIL:STL7003,GI Pipe 40 NB Medium Class | GI PIPE DN40 MEDIUM,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-PUMP-024,3,"BHEL, NTPC, ONGC",BHEL:BHL1024 | NTPC:NTP3301 | ONGC:ONG8801,Centrifugal Pump 20 m3/hr | 20 Cubic Meter Per Hour Centrifugal Pump | CI Centrifugal Pump 20 Cubic Meter Hour,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-PUMP-025,3,"BHEL, ONGC, SAIL",BHEL:BHL1025 | SAIL:STL9002 | ONGC:ONG8802,Centrifugal Pump 40 m3/hr | Centrifugal Pump Capacity 40 M3/Hr | CI Centrifugal Pump 40 m3 per hour,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-WELD-028,2,"BHEL, SAIL",BHEL:BHL1028 | SAIL:STL11001,Carbon Steel Welding Electrode 3.15mm | CS Welding Rod E6013 3.15mm,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-PPE-030,2,"BHEL, SAIL",BHEL:BHL1030 | SAIL:STL12001,Safety Helmet ISI Approved | ISI Safety Helmet Industrial Type,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-PIPE-032,2,"NTPC, SAIL",NTPC:NTP1102 | SAIL:STL7002,Stainless Steel Seamless Pipe 25 NB Schedule 10 | SS SEAMLESS PIPE DN25 SCH10,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-PIPE-033,2,"NTPC, ONGC",NTPC:NTP1103 | ONGC:ONG6603,40 NB Galvanized Iron Pipe Medium Grade | Galvanised Pipe 40 NB Medium Class,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-MOTR-034,2,"NTPC, ONGC",NTPC:NTP2201 | ONGC:ONG7701,5 HP Three Phase Induction Motor 415 Volt | Three Phase Motor 5 HP 415 V,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-MOTR-035,2,"NTPC, ONGC",NTPC:NTP2202 | ONGC:ONG7702,10 HP Three Phase Motor 415 Volt | Three Phase Induction Motor 10 HP,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-WELD-039,2,"NTPC, ONGC",NTPC:NTP5501 | ONGC:ONG10001,E6013 Welding Electrode 3.15 MM | Welding Electrode E6013 Dia 3.15 MM,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-FAST-041,2,"NTPC, ONGC",NTPC:NTP5521 | ONGC:ONG1101,Stainless Steel Hex Bolt 10mm x 50mm | Stainless Steel Bolt M10 by 50,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-FAST-044,2,"NTPC, ONGC",NTPC:NTP5524 | ONGC:ONG1104,Stainless Steel Hex Bolt 10mm x 60mm | Stainless Steel Bolt M10 by 60,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-FAST-045,2,"NTPC, ONGC",NTPC:NTP5525 | ONGC:ONG1105,Galvanized Hexagonal Bolt 12mm x 75mm | Galvanised Steel Bolt M12 75mm,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-VALV-048,2,"NTPC, ONGC",NTPC:NTP7702 | ONGC:ONG3302,80 NB Gate Valve CL 150 | Carbon Steel Gate Valve 80 NB,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-GASK-050,2,"NTPC, ONGC",NTPC:NTP8801 | ONGC:ONG4401,50 NB EPDM Gasket | EPDM Rubber Gasket Size 50 NB,REVIEW - AI suggests these materials represent the same material.,PENDING
PCM-GASK-051,2,"NTPC, ONGC",NTPC:NTP8802 | ONGC:ONG4402,100 NB Spiral Wound Graphite Gasket | Spiral Wound Gasket 100 NB Graphite,REVIEW - AI suggests these materials represent the same material.,PENDING
