prototype_canonical_material_code,canonical_category,canonical_material,canonical_size,canonical_unit,canonical_grade,source_material_count,source_cpse_count,source_cpses,source_material_codes,source_descriptions,ai_recommendation,human_decision,reviewer,review_timestamp,review_comment
PCM-FAST-002,Fastener,Mild Steel,M10,NOS,MS,2,2,"BHEL, SAIL",BHEL:BHL1002 | SAIL:STL2046,MS Hex Nut M10 | MS HEX NUT M10,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-FAST-003,Fastener,Stainless Steel,M10,NOS,SS304,3,3,"BHEL, ONGC, SAIL",BHEL:BHL1003 | SAIL:STL2047 | ONGC:ONG1103,SS Flat Washer M10 | SS WASHER M10 FLAT | SS Plain Washer M10,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-FAST-004,Fastener,Stainless Steel,M10 x 60,NOS,SS304,2,2,"BHEL, SAIL",BHEL:BHL1004 | SAIL:STL2048,SS Bolt M10 X 60 | SS HEX BOLT M10-60,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-FAST-005,Fastener,Galvanized Steel,M12 x 75,NOS,GI,2,2,"BHEL, SAIL",BHEL:BHL1005 | SAIL:STL2049,GI Hex Bolt M12 X 75 | GI HEX BOLT M12-75,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-BEAR-006,Bearing,Steel,6205,NOS,Chrome Steel,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1006 | NTPC:NTP6601 | SAIL:STL3001 | ONGC:ONG2201,Deep Groove Ball Bearing 6205 | 6205 Ball Bearing Deep Groove | Deep Groove Bearing No 6205 | Ball Bearing 6205 Deep Groove,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-BEAR-007,Bearing,Steel,6206,NOS,Chrome Steel,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1007 | NTPC:NTP6602 | SAIL:STL3002 | ONGC:ONG2202,Deep Groove Ball Bearing 6206 | 6206 Deep Groove Bearing | Ball Bearing 6206 Deep Groove | Deep Groove Bearing 6206,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-BEAR-008,Bearing,Steel,30205,NOS,Chrome Steel,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1008 | NTPC:NTP6603 | SAIL:STL3003 | ONGC:ONG2203,Taper Roller Bearing 30205 | 30205 Tapered Roller Bearing | Taper Roller Bearing No 30205 | Conical Roller Bearing 30205,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-BEAR-009,Bearing,Steel,6305,NOS,Chrome Steel,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1009 | NTPC:NTP6604 | SAIL:STL3004 | ONGC:ONG2204,Deep Groove Ball Bearing 6305 | 6305 Deep Groove Bearing | Ball Bearing 6305 Deep Groove | Deep Groove Bearing No 6305,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-VALV-010,Valve,Carbon Steel,50 NB,NOS,Class 150,2,2,"BHEL, SAIL",BHEL:BHL1010 | SAIL:STL4001,Gate Valve 50 NB Class 150 | CS Gate Valve 50NB CL150,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
PCM-VALV-011,Valve,Carbon Steel,80 NB,NOS,Class 150,2,2,"BHEL, SAIL",BHEL:BHL1011 | SAIL:STL4002,Gate Valve 80 NB Class 150 | CS GATE VALVE 80NB CLASS150,AI recommends harmonizing these materials into one canonical group.,PENDING,,,
