cpse_1,material_code_1,material_description_1,cpse_2,material_code_2,material_description_2,category,semantic_score,attribute_score,lexical_score,hybrid_score,confidence,conflicts,explanation,same_benchmark_group
NTPC,NTP5501,E6013 Welding Electrode 3.15 MM,ONGC,ONG10001,Welding Electrode E6013 Dia 3.15 MM,Welding,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1028,Carbon Steel Welding Electrode 3.15mm,SAIL,STL11001,CS Welding Rod E6013 3.15mm,Welding,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP5521,Stainless Steel Hex Bolt 10mm x 50mm,ONGC,ONG1101,Stainless Steel Bolt M10 by 50,Fastener,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1025,Centrifugal Pump 40 m3/hr,ONGC,ONG8802,CI Centrifugal Pump 40 m3 per hour,Pump,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,ONGC,ONG8802,CI Centrifugal Pump 40 m3 per hour,Pump,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1025,Centrifugal Pump 40 m3/hr,SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,Pump,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,ONGC,ONG8801,CI Centrifugal Pump 20 Cubic Meter Hour,Pump,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1024,Centrifugal Pump 20 m3/hr,NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,Pump,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1024,Centrifugal Pump 20 m3/hr,ONGC,ONG8801,CI Centrifugal Pump 20 Cubic Meter Hour,Pump,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP1103,40 NB Galvanized Iron Pipe Medium Grade,ONGC,ONG6603,Galvanised Pipe 40 NB Medium Class,Pipe,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
BHEL,BHL1021,GI Pipe 40 NB Medium Class,SAIL,STL7003,GI PIPE DN40 MEDIUM,Pipe,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP2202,10 HP Three Phase Motor 415 Volt,ONGC,ONG7702,Three Phase Induction Motor 10 HP,Motor,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP2201,5 HP Three Phase Induction Motor 415 Volt,ONGC,ONG7701,Three Phase Motor 5 HP 415 V,Motor,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP1102,Stainless Steel Seamless Pipe 25 NB Schedule 10,SAIL,STL7002,SS SEAMLESS PIPE DN25 SCH10,Pipe,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,ONGC,ONG5503,FRLS Cu Cable 4 Square MM,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
NTPC,NTP9903,4 Sq MM Copper FRLS Cable,SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,Cable,1.0,1.0,1.0,1.0,HIGH CONFIDENCE,None,"Strong agreement across semantic, material, size and specification signals. Semantic=1.000, Attribute=1.000, Lexical=1.000.",True
