cpse,material_code,material_description,category,material,size,unit,grade,benchmark_group_id
BHEL,BHL1001,SS Bolt M10 X 50,Fastener,Stainless Steel,M10 x 50,NOS,SS304,G001
NTPC,NTP5521,Stainless Steel Hex Bolt 10mm x 50mm,Fastener,SS,10 x 50,Nos,304,G001
SAIL,STL2045,SS HEX BOLT M10-50,Fastener,Stainless Steel,M10-50,Number,SS 304,G001
ONGC,ONG1101,Stainless Steel Bolt M10 by 50,Fastener,SS,M10 x 50,EA,304,G001
BHEL,BHL1002,MS Hex Nut M10,Fastener,Mild Steel,M10,NOS,MS,G002
NTPC,NTP5522,Mild Steel Hexagonal Nut 10 mm,Fastener,MS,10 mm,Nos,MS,G002
SAIL,STL2046,MS HEX NUT M10,Fastener,Mild Steel,M10,Number,MS,G002
ONGC,ONG1102,Mild Steel Nut Size M10,Fastener,MS,M10,EA,MS,G002
BHEL,BHL1003,SS Flat Washer M10,Fastener,Stainless Steel,M10,NOS,SS304,G003
NTPC,NTP5523,Stainless Steel Plain Washer 10mm,Fastener,SS,10 mm,Nos,304,G003
SAIL,STL2047,SS WASHER M10 FLAT,Fastener,Stainless Steel,M10,Number,SS304,G003
ONGC,ONG1103,SS Plain Washer M10,Fastener,Stainless Steel,M10,EA,SS304,G003
BHEL,BHL1004,SS Bolt M10 X 60,Fastener,Stainless Steel,M10 x 60,NOS,SS304,G004
NTPC,NTP5524,Stainless Steel Hex Bolt 10mm x 60mm,Fastener,SS,10 x 60,Nos,304,G004
SAIL,STL2048,SS HEX BOLT M10-60,Fastener,Stainless Steel,M10-60,Number,SS304,G004
ONGC,ONG1104,Stainless Steel Bolt M10 by 60,Fastener,SS,M10 x 60,EA,304,G004
BHEL,BHL1005,GI Hex Bolt M12 X 75,Fastener,Galvanized Steel,M12 x 75,NOS,GI,G005
NTPC,NTP5525,Galvanized Hexagonal Bolt 12mm x 75mm,Fastener,GI,12 x 75,Nos,GI,G005
SAIL,STL2049,GI HEX BOLT M12-75,Fastener,Galvanized Steel,M12-75,Number,GI,G005
ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,GI,M12 x 75,EA,GI,G005
BHEL,BHL1006,Deep Groove Ball Bearing 6205,Bearing,Steel,6205,NOS,Chrome Steel,G006
NTPC,NTP6601,6205 Ball Bearing Deep Groove,Bearing,Steel,6205,Nos,Chrome Steel,G006
SAIL,STL3001,Deep Groove Bearing No 6205,Bearing,Steel,6205,Number,Chrome Steel,G006
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,Bearing,Steel,6205,EA,Chrome Steel,G006
BHEL,BHL1007,Deep Groove Ball Bearing 6206,Bearing,Steel,6206,NOS,Chrome Steel,G007
NTPC,NTP6602,6206 Deep Groove Bearing,Bearing,Steel,6206,Nos,Chrome Steel,G007
SAIL,STL3002,Ball Bearing 6206 Deep Groove,Bearing,Steel,6206,Number,Chrome Steel,G007
ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,Steel,6206,EA,Chrome Steel,G007
BHEL,BHL1008,Taper Roller Bearing 30205,Bearing,Steel,30205,NOS,Chrome Steel,G008
NTPC,NTP6603,30205 Tapered Roller Bearing,Bearing,Steel,30205,Nos,Chrome Steel,G008
SAIL,STL3003,Taper Roller Bearing No 30205,Bearing,Steel,30205,Number,Chrome Steel,G008
ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,Steel,30205,EA,Chrome Steel,G008
BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,Steel,6305,NOS,Chrome Steel,G009
NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,Steel,6305,Nos,Chrome Steel,G009
SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,Steel,6305,Number,Chrome Steel,G009
ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,Steel,6305,EA,Chrome Steel,G009
BHEL,BHL1010,Gate Valve 50 NB Class 150,Valve,Carbon Steel,50 NB,NOS,Class 150,G010
NTPC,NTP7701,50 NB Gate Valve Class 150,Valve,CS,50 NB,Nos,150,G010
SAIL,STL4001,CS Gate Valve 50NB CL150,Valve,Carbon Steel,50NB,Number,CL150,G010
ONGC,ONG3301,Carbon Steel Gate Valve 50 NB 150 Class,Valve,CS,50 NB,EA,Class150,G010
BHEL,BHL1011,Gate Valve 80 NB Class 150,Valve,Carbon Steel,80 NB,NOS,Class 150,G011
NTPC,NTP7702,80 NB Gate Valve CL 150,Valve,CS,80 NB,Nos,150,G011
SAIL,STL4002,CS GATE VALVE 80NB CLASS150,Valve,Carbon Steel,80NB,Number,CL150,G011
ONGC,ONG3302,Carbon Steel Gate Valve 80 NB,Valve,CS,80 NB,EA,150,G011
BHEL,BHL1012,Globe Valve 25 NB Class 150,Valve,Carbon Steel,25 NB,NOS,Class 150,G012
NTPC,NTP7703,25 NB Globe Valve CL 150,Valve,CS,25 NB,Nos,150,G012
SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,Carbon Steel,25NB,Number,CL150,G012
ONGC,ONG3303,CS Globe Valve 25 NB 150 Class,Valve,CS,25 NB,EA,Class150,G012
BHEL,BHL1013,Butterfly Valve 100 NB PN16,Valve,Ductile Iron,100 NB,NOS,PN16,G013
NTPC,NTP7704,100 NB Butterfly Valve PN 16,Valve,DI,100 NB,Nos,PN16,G013
SAIL,STL4004,DI Butterfly Valve 100NB PN16,Valve,Ductile Iron,100NB,Number,PN16,G013
ONGC,ONG3304,Butterfly Valve Size 100 NB Pressure PN16,Valve,DI,100 NB,EA,PN16,G013
BHEL,BHL1014,EPDM Rubber Gasket 50 NB,Gasket,EPDM Rubber,50 NB,NOS,EPDM,G014
NTPC,NTP8801,50 NB EPDM Gasket,Gasket,EPDM,50 NB,Nos,EPDM,G014
SAIL,STL5001,EPDM GASKET 50NB,Gasket,EPDM Rubber,50NB,Number,EPDM,G014
ONGC,ONG4401,EPDM Rubber Gasket Size 50 NB,Gasket,EPDM,50 NB,EA,EPDM,G014
BHEL,BHL1015,Spiral Wound Gasket 100 NB,Gasket,Graphite SS,100 NB,NOS,SS316/Graphite,G015
NTPC,NTP8802,100 NB Spiral Wound Graphite Gasket,Gasket,Graphite SS,100 NB,Nos,316/Graphite,G015
SAIL,STL5002,Spiral Wound Gasket DN100,Gasket,SS Graphite,DN100,Number,SS316,G015
ONGC,ONG4402,Spiral Wound Gasket 100 NB Graphite,Gasket,Graphite SS,100 NB,EA,316/Graphite,G015
BHEL,BHL1016,Copper Cable 2.5 Sqmm,Cable,Copper,2.5 sqmm,MTR,FR,G016
NTPC,NTP9901,2.5 sq mm Copper Electrical Cable,Cable,Copper,2.5 sq mm,Meter,FR,G016
SAIL,STL6001,Copper Wire Cable 2.5mm2,Cable,Copper,2.5 mm2,Metre,FR,G016
ONGC,ONG5501,2.5 Square MM Copper Cable,Cable,Cu,2.5 mm2,M,FR,G016
BHEL,BHL1017,Aluminium Cable 16 Sqmm,Cable,Aluminium,16 sqmm,MTR,XLPE,G017
NTPC,NTP9902,16 Sq MM Aluminium Power Cable,Cable,Aluminium,16 sq mm,Meter,XLPE,G017
SAIL,STL6002,Aluminium Cable 16mm2 XLPE,Cable,Al,16 mm2,Metre,XLPE,G017
ONGC,ONG5502,16 Square MM Aluminium XLPE Cable,Cable,Aluminium,16 sqmm,M,XLPE,G017
BHEL,BHL1018,FRLS Copper Cable 4 Sqmm,Cable,Copper,4 sqmm,MTR,FRLS,G018
NTPC,NTP9903,4 Sq MM Copper FRLS Cable,Cable,Cu,4 sq mm,Meter,FRLS,G018
SAIL,STL6003,Copper Cable 4mm2 Flame Retardant Low Smoke,Cable,Copper,4 mm2,Metre,FRLS,G018
ONGC,ONG5503,FRLS Cu Cable 4 Square MM,Cable,Cu,4 sqmm,M,FRLS,G018
BHEL,BHL1019,MS Seamless Pipe 50 NB Sch40,Pipe,Mild Steel,50 NB, MTR,Sch 40,G019
NTPC,NTP1101,50 NB Carbon Steel Seamless Pipe Schedule 40,Pipe,CS,50 NB,Meter,Schedule 40,G019
SAIL,STL7001,CS SEAMLESS PIPE DN50 SCH40,Pipe,Carbon Steel,DN50,Metre,Sch40,G019
ONGC,ONG6601,Carbon Steel Seamless Pipe 50 NB Schedule 40,Pipe,CS,50 NB,M,40,G019
BHEL,BHL1020,SS Seamless Pipe 25 NB Sch10,Pipe,Stainless Steel,25 NB,MTR,Sch 10,G020
NTPC,NTP1102,Stainless Steel Seamless Pipe 25 NB Schedule 10,Pipe,SS,25 NB,Meter,Schedule 10,G020
SAIL,STL7002,SS SEAMLESS PIPE DN25 SCH10,Pipe,SS,DN25,Metre,Sch10,G020
ONGC,ONG6602,Stainless Steel Pipe 25 NB Schedule 10,Pipe,Stainless Steel,25 NB,M,10,G020
BHEL,BHL1021,GI Pipe 40 NB Medium Class,Pipe,Galvanized Iron,40 NB,MTR,Medium,G021
NTPC,NTP1103,40 NB Galvanized Iron Pipe Medium Grade,Pipe,GI,40 NB,Meter,Medium,G021
SAIL,STL7003,GI PIPE DN40 MEDIUM,Pipe,Galvanized Steel,DN40,Metre,Medium,G021
ONGC,ONG6603,Galvanised Pipe 40 NB Medium Class,Pipe,GI,40 NB,M,Medium,G021
BHEL,BHL1022,Induction Motor 5 HP 415V,Motor,Three Phase,5 HP,NOS,IE2,G022
NTPC,NTP2201,5 HP Three Phase Induction Motor 415 Volt,Motor,3 Phase,5 HP,Nos,IE2,G022
SAIL,STL8001,3 PH INDUCTION MOTOR 5HP 415V,Motor,Three Phase,5HP,Number,IE2,G022
ONGC,ONG7701,Three Phase Motor 5 HP 415 V,Motor,3 Phase,5 HP,EA,IE2,G022
BHEL,BHL1023,Induction Motor 10 HP 415V,Motor,Three Phase,10 HP,NOS,IE3,G023
NTPC,NTP2202,10 HP Three Phase Motor 415 Volt,Motor,3 Phase,10 HP,Nos,IE3,G023
SAIL,STL8002,3 PH MOTOR 10HP 415V IE3,Motor,Three Phase,10HP,Number,IE3,G023
ONGC,ONG7702,Three Phase Induction Motor 10 HP,Motor,3 Phase,10 HP,EA,IE3,G023
BHEL,BHL1024,Centrifugal Pump 20 m3/hr,Pump,Cast Iron,20 m3/hr,NOS,CI,G024
NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,Pump,Cast Iron,20 m3/hr,Nos,CI,G024
SAIL,STL9001,Centrifugal Pump Capacity 20 M3/Hr,Pump,CI,20 M3/Hr,Number,Cast Iron,G024
